date,revision,ticker,name
2018-04-01,2018-03-22,LVNTA,Liberty Interactive
2018-04-01,2018-03-22,QVCA,Liberty Interactive
2018-04-01,2018-03-22,MAR,Marriott International
2018-04-01,2018-03-22,MXIM,Maxim Integrated Products
2018-04-01,2018-03-22,MELI,MercadoLibre
2018-04-01,2018-03-22,MCHP,Microchip Technology
2018-04-01,2018-03-22,MU,Micron Technology
2018-04-01,2018-03-22,MSFT,Microsoft
2018-04-01,2018-03-22,MDLZ,Mondelēz International
2018-04-01,2018-03-22,MNST,Monster Beverage
2018-04-01,2018-03-22,MYL,Mylan
2018-04-01,2018-03-22,NTES,NetEase
2018-04-01,2018-03-22,NFLX,Netflix
2018-04-01,2018-03-22,NVDA,Nvidia
2018-04-01,2018-03-22,ORLY,O'Reilly Auto Parts
2018-04-01,2018-03-22,PCAR,Paccar
2018-04-01,2018-03-22,PAYX,Paychex
2018-04-01,2018-03-22,PYPL,PayPal
2018-04-01,2018-03-22,QCOM,Qualcomm
2018-04-01,2018-03-22,REGN,Regeneron Pharmaceuticals
2018-04-01,2018-03-22,ROST,Ross Stores
2018-04-01,2018-03-22,STX,Seagate Technology
2018-04-01,2018-03-22,SHPG,Shire plc
2018-04-01,2018-03-22,SIRI,Sirius XM Radio
2018-04-01,2018-03-22,SWKS,Skyworks Solutions
2018-04-01,2018-03-22,SBUX,Starbucks
2018-04-01,2018-03-22,SYMC,Symantec
2018-04-01,2018-03-22,SNPS,Synopsys
2018-04-01,2018-03-22,TMUS,T-Mobile US
2018-04-01,2018-03-22,TTWO,Take-Two Interactive
2018-04-01,2018-03-22,TSLA,"Tesla, Inc."
2018-04-01,2018-03-22,TXN,Texas Instruments
2018-04-01,2018-03-22,KHC,The Kraft Heinz Company
2018-04-01,2018-03-22,FOXA,Twenty-First Century Fox
2018-04-01,2018-03-22,FOX,Twenty-First Century Fox
2018-04-01,2018-03-22,ULTA,Ulta Beauty
2018-04-01,2018-03-22,VRSK,Verisk Analytics
2018-04-01,2018-03-22,VRTX,Vertex Pharmaceuticals
2018-04-01,2018-03-22,VOD,Vodafone
2018-04-01,2018-03-22,WBA,Walgreens Boots Alliance
2018-04-01,2018-03-22,WDC,Western Digital
